IterationNo,Year,Hosted by
1,1929,Douglas Fairbanks
2,1930,William C. deMille
3,1930,Conrad Nagel
4,1931,Lawrence Grant
5,1932,Conrad Nagel
6,1934,Will Rogers
7,1935,Irvin S. Cobb
8,1936,Frank Capra
9,1937,George Jessel
10,1938,Bob Burns
11,1939,Frank Capra
12,1940,Bob Hope
13,1941,Bob Hope
14,1942,Bob Hope
15,1943,Bob Hope
16,1944,Jack Benny
17,1945,John Cromwell
17,1945,Bob Hope
18,1946,James Stewart
18,1946,Bob Hope
19,1947,Jack Benny
20,1948,Agnes Moorehead
20,1948,Dick Powell
21,1949,Robert Montgomery
22,1950,Paul Douglas
23,1951,Fred Astaire
24,1952,Danny Kaye
25,1953,Bob Hope
25,1953,Conrad Nagel
25,1953,emcee
25,1953,Fredric March
26,1954,Donald O'Connor
26,1954,Fredric March
27,1955,Bob Hope
27,1955,Thelma Ritter
28,1956,Jerry Lewis
28,1956,Claudette Colbert
28,1956,Joseph L. Mankiewicz
29,1957,Jerry Lewis
29,1957,Celeste Holm
30,1958,Bob Hope
30,1958,Rosalind Russell
30,1958,David Niven
30,1958,James Stewart
30,1958,Jack Lemmon
30,1958,Donald Duck
30,1958,Clarence Nash
31,1959,Jerry Lewis
31,1959,Mort Sahl
31,1959,Tony Randall
31,1959,Bob Hope
31,1959,David Niven
31,1959,Laurence Olivier
32,1960,Bob Hope
33,1961,Bob Hope
34,1962,Bob Hope
35,1963,Frank Sinatra
36,1964,Jack Lemmon
37,1965,Bob Hope
38,1966,Bob Hope
39,1967,Bob Hope
40,1968,Bob Hope
44,1972,Helen Hayes
44,1972,Alan King
44,1972,Sammy Davis Jr.
44,1972,Jack Lemmon
45,1973,Carol Burnett
45,1973,Michael Caine
45,1973,Charlton Heston
45,1973,Rock Hudson
46,1974,Burt Reynolds
46,1974,Diana Ross
46,1974,John Huston
46,1974,David Niven
47,1975,Bob Hope
47,1975,Shirley MacLaine
47,1975,Sammy Davis Jr.
47,1975,Frank Sinatra
48,1976,Walter Matthau
48,1976,Robert Shaw
48,1976,George Segal
48,1976,Goldie Hawn
48,1976,Gene Kelly
49,1977,Richard Pryor
49,1977,Ellen Burstyn
49,1977,Jane Fonda
49,1977,Warren Beatty
50,1978,Bob Hope
51,1979,Johnny Carson
52,1980,Johnny Carson
53,1981,Johnny Carson
54,1982,Johnny Carson
55,1983,Liza Minnelli
55,1983,Dudley Moore
55,1983,Richard Pryor
55,1983,Walter Matthau
56,1984,Johnny Carson
57,1985,Jack Lemmon
58,1986,Alan Alda
58,1986,Jane Fonda
58,1986,Robin Williams
59,1987,Chevy Chase
59,1987,Goldie Hawn
59,1987,Paul Hogan
60,1988,Chevy Chase
62,1990,Billy Crystal
63,1991,Billy Crystal
64,1992,Billy Crystal
65,1993,Billy Crystal
66,1994,Whoopi Goldberg
67,1995,David Letterman
68,1996,Whoopi Goldberg
69,1997,Billy Crystal
70,1998,Billy Crystal
71,1999,Whoopi Goldberg
72,2000,Billy Crystal
73,2001,Steve Martin
74,2002,Whoopi Goldberg
75,2003,Steve Martin
76,2004,Billy Crystal
77,2005,Chris Rock
78,2006,Jon Stewart
79,2007,Ellen DeGeneres
80,2008,Jon Stewart
81,2009,Hugh Jackman
82,2010,Alec Baldwin
82,2010,Steve Martin
83,2011,James Franco
83,2011,Anne Hathaway
84,2012,Billy Crystal
85,2013,Seth MacFarlane
86,2014,Ellen DeGeneres
87,2015,Neil Patrick Harris
88,2016,Chris Rock
89,2017,Jimmy Kimmel
90,2018,Jimmy Kimmel
94,2022,Regina Hall
94,2022,Amy Schumer
94,2022,Wanda Sykes
95,2023,Jimmy Kimmel
96,2024,Jimmy Kimmel
